rep,pitype,biastype,method,mutationtype,mutationrate
26,unequalpi,bias,FUBAR1,AC,0.3818046400220984
26,unequalpi,bias,FUBAR1,GT,0.239925805045678
26,unequalpi,bias,FUBAR1,CG,0.1731747633670726
26,unequalpi,bias,FUBAR1,AT,0.2816082358745121
26,unequalpi,bias,FUBAR1,CT,0.9403430851053879
26,unequalpi,bias,FUBAR2,AC,0.381956680415489
26,unequalpi,bias,FUBAR2,GT,0.2399268906849038
26,unequalpi,bias,FUBAR2,CG,0.1731750592423308
26,unequalpi,bias,FUBAR2,AT,0.2814966254454934
26,unequalpi,bias,FUBAR2,CT,0.9403447572136275
26,unequalpi,nobias,FUBAR1,AC,0.3943032004081845
26,unequalpi,nobias,FUBAR1,GT,0.2461206484653987
26,unequalpi,nobias,FUBAR1,CG,0.1815893118493311
26,unequalpi,nobias,FUBAR1,AT,0.2268237403766132
26,unequalpi,nobias,FUBAR1,CT,1.078941738044238
26,unequalpi,nobias,FUBAR2,AC,0.3942814422864249
26,unequalpi,nobias,FUBAR2,GT,0.2461206855861304
26,unequalpi,nobias,FUBAR2,CG,0.1815774504321207
26,unequalpi,nobias,FUBAR2,AT,0.2268243454603219
26,unequalpi,nobias,FUBAR2,CT,1.078665580127305
27,unequalpi,bias,FUBAR1,AC,0.4209249335275814
27,unequalpi,bias,FUBAR1,GT,0.2594671348877521
27,unequalpi,bias,FUBAR1,CG,0.272871360445557
27,unequalpi,bias,FUBAR1,AT,0.3425638607050937
27,unequalpi,bias,FUBAR1,CT,1.35762882176501
27,unequalpi,bias,FUBAR2,AC,0.4209557365599435
27,unequalpi,bias,FUBAR2,GT,0.2595141604565336
27,unequalpi,bias,FUBAR2,CG,0.2728520505609787
27,unequalpi,bias,FUBAR2,AT,0.3425859081501303
27,unequalpi,bias,FUBAR2,CT,1.357819594422524
27,unequalpi,nobias,FUBAR1,AC,0.3743641511106453
27,unequalpi,nobias,FUBAR1,GT,0.2132385613350787
